location,year,month,day,hour,minute,download,upload
old_Colbry_TLC-5G, 2019, 10, 23, 15, 11, 81186503.09643666, 3500186.7893650997
old_Colbry_TLC-5G, 2019, 10, 23, 15, 15, 86930395.96743199, 6169181.456932264
old_Colbry_TLC-5G, 2019, 10, 23, 15, 16, 98036158.16293038, 5633580.917993786
old_Colbry_TLC-5G, 2019, 10, 23, 15, 33, 81704013.71644469, 6112242.541101059
old_Colbry_TLC-5G, 2019, 10, 23, 15, 34, 92873989.13840747, 5401526.771639437
old_Colbry_TLC-5G, 2019, 10, 23, 15, 41, 91023515.88660747, 3810575.562721228
old_Colbry_TLC-5G, 2019, 10, 23, 15, 43, 69103812.09127383, 5433286.593148114
old_Colbry_TLC-5G, 2019, 10, 23, 16, 9, 74028258.72993803, 6169950.47456785
WiFi, 2019, 10, 23, 17, 53, 207982061.97642913, 13590466.545237038
WiFi, 2019, 10, 23, 17, 54, 50510830.55258389, 2866815.685180049
WiFi, 2019, 10, 23, 17, 55, 54839858.19040171, 12891211.345959892
WiFi, 2019, 10, 23, 17, 55, 237515336.01675457, 14311743.0793138
WiFi, 2019, 10, 23, 18, 3, 62857792.192129776, 20440284.845446166
WiFi, 2019, 10, 23, 18, 6, 112379859.79515184, 6966067.982168236
molly, 2019, 10, 23, 18, 11, 309798589.66970253, 19669997.673282932
molly, 2019, 10, 23, 18, 12, 191215516.65589797, 21985944.327926356
molly, 2019, 10, 23, 18, 13, 213378687.56775603, 18706979.555092204
molly, 2019, 10, 23, 18, 16, 220512184.65227884, 19607978.17959617
molly, 2019, 10, 23, 18, 17, 223555335.43747365, 22059402.64562346
molly, 2019, 10, 23, 18, 30, 211406509.0531554, 17785458.436807446
molly, 2019, 10, 23, 18, 35, 172393662.5802718, 10802068.65072507
molly, 2019, 10, 23, 18, 47, 224599433.52573636, 21542104.486395102
old_Colbry_TLC, 2019, 10, 23, 19, 41, 7772359.3481347365, 6238189.795314927
old_Colbry_TLC, 2019, 10, 23, 19, 42, 31021209.18163413, 6462045.730364381
old_Colbry_TLC, 2019, 10, 23, 19, 43, 33184486.277140006, 5946826.16313973
old_Colbry_TLC, 2019, 10, 23, 19, 44, 8888800.094644357, 6059797.638525761
old_Colbry_TLC, 2019, 10, 23, 19, 44, 36157005.50093425, 3708599.3695310396
old_Colbry_TLC, 2019, 10, 23, 19, 56, 2812286.5179835325, 2651279.380672152
old_Colbry_TLC, 2019, 10, 23, 19, 59, 3316951.9638912384, 2072165.7962127752
xfinitywifi, 2019, 10, 23, 20, 1, 723385.1679691871, 2127141.311536501
xfinitywifi, 2019, 10, 23, 20, 2, 1618283.3479871587, 1719341.7511714348
xfinitywifi, 2019, 10, 23, 20, 4, 1246672.2023703586, 1590089.0051971024
xfinitywifi, 2019, 10, 23, 20, 6, 2706184.4056499987, 3268558.6331008347
